date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,1,0,1
2020-02-26,3,3,0,3
2020-02-27,3,3,0,3
2020-02-28,5,5,0,5
2020-02-29,6,6,0,6
2020-03-01,7,7,0,7
2020-03-02,7,7,0,7
2020-03-03,9,9,0,9
2020-03-04,10,10,0,10
2020-03-05,10,10,0,10
2020-03-06,11,11,0,11
2020-03-07,12,12,0,12
2020-03-08,12,12,0,12
2020-03-09,12,12,0,12
2020-03-10,14,14,0,14
2020-03-11,19,19,0,19
2020-03-12,19,19,0,19
2020-03-13,32,32,0,31
2020-03-14,38,38,0,37
2020-03-15,49,49,0,48
2020-03-16,57,57,0,55
2020-03-17,65,65,0,61
2020-03-18,81,81,0,77
2020-03-19,105,104,1,99
2020-03-20,128,127,1,122
2020-03-21,206,205,1,200
2020-03-22,254,253,1,248
2020-03-23,315,314,1,309
2020-03-24,382,381,1,376
2020-03-25,442,441,1,419
2020-03-26,495,492,3,470
2020-03-27,586,583,3,546
2020-03-28,657,652,5,607
2020-03-29,713,707,6,655
2020-03-30,790,784,6,717
2020-03-31,867,861,6,794
2020-04-01,963,957,6,884
2020-04-02,1011,1004,7,916
2020-04-03,1079,1071,8,979
