date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,4,4,0,4
2020-03-09,4,4,0,4
2020-03-10,6,6,0,6
2020-03-11,8,8,0,8
2020-03-12,8,8,0,8
2020-03-13,9,9,0,9
2020-03-14,10,10,0,10
2020-03-15,13,13,0,13
2020-03-16,13,13,0,13
2020-03-17,13,13,0,13
2020-03-18,13,13,0,13
2020-03-19,13,13,0,13
2020-03-20,13,13,0,13
2020-03-21,13,13,0,13
2020-03-22,13,13,0,13
2020-03-23,13,13,0,13
2020-03-24,13,13,0,8
2020-03-25,13,13,0,5
2020-03-26,13,13,0,5
2020-03-27,16,16,0,7
2020-03-28,16,16,0,7
2020-03-29,17,17,0,4
2020-03-30,17,17,0,4
2020-03-31,18,18,0,5
2020-04-01,19,19,0,6
2020-04-02,19,19,0,6
2020-04-03,19,19,0,6
