date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,1,0,1
2020-03-01,3,3,0,3
2020-03-02,3,3,0,3
2020-03-03,7,7,0,7
2020-03-04,8,8,0,8
2020-03-05,8,8,0,8
2020-03-06,8,8,0,8
2020-03-07,8,8,0,8
2020-03-08,15,15,0,15
2020-03-09,18,18,0,18
2020-03-10,24,24,0,24
2020-03-11,262,262,0,262
2020-03-12,262,262,0,262
2020-03-13,320,320,0,320
2020-03-14,337,337,0,333
2020-03-15,401,401,0,397
2020-03-16,439,439,0,435
2020-03-17,439,439,0,435
2020-03-18,452,452,0,448
2020-03-19,460,460,0,456
2020-03-20,470,470,0,460
2020-03-21,481,481,0,454
2020-03-22,494,494,0,461
2020-03-23,501,501,0,468
2020-03-24,526,526,0,485
2020-03-25,537,537,0,496
2020-03-26,549,549,0,506
2020-03-27,562,562,0,519
2020-03-28,590,589,1,544
2020-03-29,634,633,1,585
2020-03-30,693,692,1,641
2020-03-31,781,779,2,717
2020-04-01,835,833,2,762
2020-04-02,949,946,3,874
2020-04-03,1075,1072,3,979
