date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,0,1
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,2
2020-03-05,0,0,0,0
2020-03-06,9,0,0,9
2020-03-07,0,0,0,0
2020-03-08,7,0,0,7
2020-03-09,5,0,0,5
2020-03-10,6,0,0,6
2020-03-11,7,0,0,7
2020-03-12,14,0,0,14
2020-03-13,99,0,0,99
2020-03-14,0,0,0,0
2020-03-15,11,0,0,11
2020-03-16,38,1,0,37
2020-03-17,121,1,1,119
2020-03-18,51,0,2,49
2020-03-19,249,0,3,246
2020-03-20,172,0,5,167
2020-03-21,228,0,4,224
2020-03-22,525,0,10,515
2020-03-23,378,0,9,369
2020-03-24,323,0,12,311
2020-03-25,307,0,13,294
2020-03-26,431,4,18,409
2020-03-27,432,0,15,417
2020-03-28,487,0,19,468
2020-03-29,352,0,25,327
2020-03-30,323,114,23,186
2020-03-31,1138,7,42,1089
2020-04-01,1119,0,39,1080
2020-04-02,1208,0,84,1124
2020-04-03,1012,0,35,977
