date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,1
2020-02-25,10,0,0,10
2020-02-26,15,0,0,15
2020-02-27,17,0,0,17
2020-02-28,2,0,0,2
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,11,0,0,11
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,0,0,0,0
2020-03-07,3,0,0,3
2020-03-08,3,1,0,2
2020-03-09,0,0,0,0
2020-03-10,5,0,0,5
2020-03-11,3,1,0,2
2020-03-12,8,3,0,5
2020-03-13,0,0,0,0
2020-03-14,24,0,0,24
2020-03-15,8,0,0,8
2020-03-16,11,4,0,7
2020-03-17,7,0,0,7
2020-03-18,12,6,0,6
2020-03-19,6,3,0,3
2020-03-20,11,0,0,11
2020-03-21,17,9,0,8
2020-03-22,12,0,0,12
2020-03-23,1,0,0,1
2020-03-24,2,2,0,-10
2020-03-25,4,4,0,0
2020-03-26,13,6,0,7
2020-03-27,17,8,0,9
2020-03-28,10,7,0,3
2020-03-29,20,3,0,17
2020-03-30,11,5,0,6
2020-03-31,23,1,0,22
2020-04-01,28,7,0,21
2020-04-02,25,1,0,24
2020-04-03,75,1,0,74
