date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,0,0,1
2020-03-11,7,0,1,6
2020-03-12,3,0,0,3
2020-03-13,16,0,0,16
2020-03-14,9,0,0,9
2020-03-15,7,0,0,7
2020-03-16,12,0,0,12
2020-03-17,14,0,0,14
2020-03-18,17,0,0,17
2020-03-19,23,0,0,23
2020-03-20,28,0,0,28
2020-03-21,63,0,0,63
2020-03-22,113,0,2,111
2020-03-23,32,0,3,29
2020-03-24,0,0,0,-1
2020-03-25,98,0,2,96
2020-03-26,115,1,0,114
2020-03-27,116,0,1,115
2020-03-28,112,0,5,107
2020-03-29,115,2,3,110
2020-03-30,88,0,7,81
2020-03-31,192,5,6,181
2020-04-01,0,0,0,0
2020-04-02,136,0,2,134
2020-04-03,158,1,5,152
