date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,1
2020-03-05,0,0,0,0
2020-03-06,4,0,0,4
2020-03-07,0,0,0,0
2020-03-08,6,0,0,6
2020-03-09,5,0,0,5
2020-03-10,6,0,0,6
2020-03-11,9,0,0,9
2020-03-12,18,0,1,17
2020-03-13,19,0,1,18
2020-03-14,35,0,1,34
2020-03-15,16,0,0,16
2020-03-16,58,13,1,44
2020-03-17,61,0,1,60
2020-03-18,13,0,0,13
2020-03-19,104,-12,0,116
2020-03-20,70,0,0,70
2020-03-21,111,0,0,111
2020-03-22,98,0,2,96
2020-03-23,115,0,1,114
2020-03-24,152,0,2,150
2020-03-25,150,6,4,140
2020-03-26,170,0,2,168
2020-03-27,168,0,0,168
2020-03-28,249,0,2,247
2020-03-29,224,0,4,220
2020-03-30,193,0,9,184
2020-03-31,256,0,2,254
2020-04-01,243,40,10,193
2020-04-02,392,9,14,369
2020-04-03,437,0,14,423
