date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,0,1
2020-03-01,2,0,0,2
2020-03-02,0,0,0,0
2020-03-03,4,0,0,4
2020-03-04,1,0,0,1
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,7,0,0,7
2020-03-09,3,0,0,3
2020-03-10,6,0,0,6
2020-03-11,238,0,0,238
2020-03-12,0,0,0,0
2020-03-13,58,0,0,58
2020-03-14,17,4,0,13
2020-03-15,64,0,0,64
2020-03-16,38,0,0,38
2020-03-17,0,0,0,0
2020-03-18,13,0,0,13
2020-03-19,8,0,0,8
2020-03-20,10,6,0,4
2020-03-21,11,11,0,-6
2020-03-22,13,6,0,7
2020-03-23,7,0,0,7
2020-03-24,25,8,0,17
2020-03-25,11,0,0,11
2020-03-26,12,2,0,10
2020-03-27,13,0,0,13
2020-03-28,28,2,1,25
2020-03-29,44,3,0,41
2020-03-30,59,3,0,56
2020-03-31,88,11,1,76
2020-04-01,54,9,0,45
2020-04-02,114,1,1,112
2020-04-03,126,21,0,105
