date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,1,0,0,1
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,4,0,0,4
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,6,0,0,6
2020-03-09,4,0,0,4
2020-03-10,5,1,0,4
2020-03-11,1,0,0,1
2020-03-12,24,0,0,24
2020-03-13,41,0,0,41
2020-03-14,17,0,0,17
2020-03-15,0,0,0,0
2020-03-16,15,1,0,14
2020-03-17,53,4,0,49
2020-03-18,0,0,0,0
2020-03-19,103,0,0,103
2020-03-20,70,2,0,68
2020-03-21,48,8,0,40
2020-03-22,119,0,0,119
2020-03-23,51,0,0,51
2020-03-24,205,12,1,192
2020-03-25,133,1,1,131
2020-03-26,112,4,1,107
2020-03-27,92,2,0,90
2020-03-28,99,2,1,96
2020-03-29,96,29,4,63
2020-03-30,154,49,0,105
2020-03-31,110,50,2,58
2020-04-01,157,99,6,52
2020-04-02,165,64,5,96
2020-04-03,154,23,4,127
