date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,1
2020-01-28,4,0,0,4
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,5,0,0,5
2020-02-01,8,0,0,8
2020-02-02,10,0,0,10
2020-02-03,12,0,0,12
2020-02-04,12,0,0,12
2020-02-05,12,0,0,12
2020-02-06,12,0,0,12
2020-02-07,13,0,0,13
2020-02-08,13,0,0,13
2020-02-09,14,0,0,14
2020-02-10,14,0,0,14
2020-02-11,16,0,0,16
2020-02-12,16,0,0,16
2020-02-13,16,1,0,15
2020-02-14,16,1,0,15
2020-02-15,16,1,0,15
2020-02-16,16,1,0,15
2020-02-17,16,1,0,15
2020-02-18,16,12,0,4
2020-02-19,16,12,0,4
2020-02-20,16,12,0,4
2020-02-21,16,14,0,2
2020-02-22,16,14,0,2
2020-02-23,16,14,0,2
2020-02-24,16,14,0,2
2020-02-25,16,14,0,2
2020-02-26,21,15,0,6
2020-02-27,26,16,0,10
2020-02-28,53,16,0,37
2020-02-29,66,16,0,50
2020-03-01,117,16,0,101
2020-03-02,150,16,0,134
2020-03-03,188,16,0,172
2020-03-04,262,16,0,246
2020-03-05,400,16,0,384
2020-03-06,639,17,0,622
2020-03-07,795,18,0,777
2020-03-08,902,18,0,884
2020-03-09,1139,18,2,1119
2020-03-10,1296,18,2,1276
2020-03-11,1567,25,3,1539
2020-03-12,2369,25,5,2339
2020-03-13,3062,46,5,3011
2020-03-14,3795,46,8,3741
2020-03-15,4838,46,12,4780
2020-03-16,6012,67,13,5932
2020-03-17,7156,67,12,7077
2020-03-18,8198,105,12,8081
2020-03-19,10999,113,20,10866
2020-03-20,13957,180,31,13746
2020-03-21,16662,233,47,16382
2020-03-22,18610,266,55,18289
2020-03-23,22672,266,86,22320
2020-03-24,27436,3243,114,24079
2020-03-25,31554,3547,149,27858
2020-03-26,36508,5673,198,30637
2020-03-27,42288,6658,253,35377
2020-03-28,48582,8481,325,39776
2020-03-29,52547,9211,389,42947
2020-03-30,57298,13500,455,43343
2020-03-31,61913,16100,583,45230
