date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,6,0,0,6
2020-02-29,10,0,0,10
2020-03-01,18,0,0,18
2020-03-02,24,0,0,24
2020-03-03,38,0,0,38
2020-03-04,82,0,0,82
2020-03-05,128,0,0,128
2020-03-06,188,0,1,187
2020-03-07,265,0,1,264
2020-03-08,321,0,3,318
2020-03-09,382,0,3,379
2020-03-10,503,0,4,499
2020-03-11,603,0,5,598
2020-03-12,804,0,5,799
2020-03-13,961,0,10,951
2020-03-14,1138,0,12,1126
2020-03-15,1416,0,20,1396
2020-03-16,1708,0,24,1684
2020-03-17,2057,0,43,2014
2020-03-18,2467,0,58,2409
2020-03-19,3001,0,77,2924
2020-03-20,3640,0,107,3533
2020-03-21,4213,0,137,4076
2020-03-22,4762,0,180,4582
2020-03-23,5575,0,214,5361
2020-03-24,6432,1,277,6154
2020-03-25,7457,1,357,7099
2020-03-26,8640,3,435,8202
2020-03-27,9806,3,547,9256
2020-03-28,10923,3,640,10280
2020-03-29,11814,3,772,11039
2020-03-30,12662,3,865,11794
2020-03-31,13686,3,1040,12643
2020-04-01,14779,10,1175,13594
