date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,1,1
2020-01-31,2,0,1,1
2020-02-01,2,0,1,1
2020-02-02,2,0,2,0
2020-02-03,8,0,2,6
2020-02-04,8,0,2,6
2020-02-05,9,0,2,7
2020-02-06,9,0,2,7
2020-02-07,9,0,2,7
2020-02-08,13,0,2,11
2020-02-09,14,0,2,12
2020-02-10,14,0,2,12
2020-02-11,15,0,2,13
2020-02-12,16,1,2,13
2020-02-13,17,1,2,14
2020-02-14,18,1,2,15
2020-02-15,18,1,2,15
2020-02-16,18,8,2,8
2020-02-17,19,8,2,9
2020-02-18,19,8,2,9
2020-02-19,20,8,2,10
2020-02-20,22,8,2,12
2020-02-21,23,8,2,13
2020-02-22,23,8,3,12
2020-02-23,28,8,3,17
2020-02-24,30,8,3,19
2020-02-25,34,8,3,23
2020-02-26,37,8,3,26
2020-02-27,44,8,3,33
2020-02-28,56,8,3,45
2020-02-29,61,8,3,50
2020-03-01,94,8,3,83
2020-03-02,134,8,4,122
2020-03-03,189,8,4,177
2020-03-04,246,8,5,233
2020-03-05,295,8,7,280
2020-03-06,374,8,9,357
2020-03-07,429,18,9,402
2020-03-08,483,18,11,454
2020-03-09,630,18,16,596
2020-03-10,888,19,19,850
2020-03-11,1299,19,26,1254
2020-03-12,1788,19,39,1730
2020-03-13,2268,19,55,2194
2020-03-14,2632,19,76,2537
2020-03-15,3074,19,107,2948
2020-03-16,3686,21,159,3506
2020-03-17,4456,53,217,4186
2020-03-18,5462,68,291,5103
2020-03-19,6523,68,370,6085
2020-03-20,7778,68,488,7222
2020-03-21,8975,68,632,8275
2020-03-22,10398,67,814,9517
2020-03-23,12747,67,1022,11658
2020-03-24,15139,140,1285,13714
2020-03-25,17847,140,1622,16085
2020-03-26,20958,150,2035,18773
2020-03-27,24203,151,2499,21553
2020-03-28,27055,151,3015,23889
2020-03-29,29949,151,3601,26197
2020-03-30,34251,171,4314,29766
2020-03-31,38788,179,5145,33464
